ch4_ppm,h2s_ppm,co_ppm,o2_percent,heart_rate_bpm,spo2_percent,ch4_delta,h2s_delta,o2_delta,hr_delta,spo2_delta,motion_state,label
1480.3939570346051,13.35478299620367,84.3770912489792,19.265585676169895,81.21348490318077,95.77579511197776,30.53292523035308,1.9238028665825837,-0.023037246203309436,2.087465914100572,-0.007048086438267986,1,1
609.4725880428069,5.463256405391942,31.348092601222213,19.8,106.25248383705286,94.33433460632685,77.22885120398422,3.783478720897062,-0.22408479337213047,9.063908913539347,-0.3570356607867061,1,1
1796.7842979513553,6.0,48.494471276173805,19.32019193567682,86.26474804164431,95.23095745105545,73.06115147760238,2.004467911017789,-0.19428323802671366,4.165594776425184,-0.024301521869541043,0,1
226.0442263333556,1.1917372157108925,3.948671895542752,19.911212292498227,80.79720037839755,96.74815778291035,-13.830620380166089,0.10010843478339482,-0.017697265424590616,1.5916767478306633,0.15524727557361434,1,0
2366.2935970557264,30.878486084367818,60.0,16.5720991480272,132.11458945051746,89.55407853273661,151.47389201350404,3.069848521210831,-1.001151447937377,23.623294427778234,-1.588256286464934,0,2
2080.029078530496,18.39205447630944,52.465951643384884,18.788261790532268,99.09020865664658,96.16297582623604,68.25840201791041,1.9345601729723505,-0.11611936741645768,4.18320517679364,-0.35102128552082046,0,1
681.7369524550817,3.0,16.87159726907274,18.206309542511978,101.40292192524268,94.36073147420164,30.12205410524624,3.4412311261603836,-0.1012280078840973,8.764405609859885,-0.37130269952551553,1,1
4684.796957738135,82.19193250967308,107.82285812512228,17.222710498985393,122.7638793386476,90.16985878342452,82.81761317869393,7.722839501809369,-0.7118632658864119,22.255693816047547,-1.462481736990712,1,2
140.33709413882698,5.146909008698647,6.846214396087694,20.50972210400204,72.62011523194931,98.17861666873621,-1.9495621697932979,-0.1244069413995553,0.00454279502117131,-1.4663346579071717,0.07665736078932728,1,0
1771.5101012289285,26.69759064787222,83.04751680487227,17.77325388338712,111.28040180682724,89.86361339452877,24.007599684282724,9.546208806157106,-0.4325753712296727,19.656172977103452,-1.2118127396531932,2,2
4236.371205396361,37.739857239940164,234.4660678314077,17.685480519041633,122.27791151390487,91.13975276719297,191.57897536908683,11.741180439446698,-1.0019635474262851,11.48274293899919,-1.177767605050732,0,2
283.5692112065142,0.30543971801357284,13.178825067491697,20.93247058619737,60.0,97.36248379562362,-4.533952003710141,0.2577174865486955,0.03306194077877292,1.8601076426660503,-0.15028111060578211,1,0
